Source:,C:\Users\shiel\OneDrive\Documents\KiCad\weather_station\weather_station.kicad_sch,,,,,,,,,,,,
Date:,4/20/2023 16:31,,,,,,,,,,,,
Tool:,Eeschema 7.0.1,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,33,,,,,,,,,,,,
,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Source,Link,Buy 3 or full?,part number,tot num,price,tot price,Bought
22,1,Y1,Crystal 16 MHz,Device:Crystal_Small,Crystal:Crystal_HC18-U_Vertical,Amazon,,N/A,,,,0,y
23,1,,battery,,,Amazon,https://www.amazon.com/CPZZ-Rechargeable-Headlights-Streamlight-Doorbells/dp/B0BZYSHQMW/ref=sr_1_11?crid=3GOQH61QN2HFA&keywords=3.7%2Bvolt%2Bbattery%2B18650&qid=1682101916&sprefix=3.7%2Bvolt%2Bbattery%2B18650%2Caps%2C86&sr=8-11&th=1,7,,,,0,
24,,,battery holder,,,Amazon,https://www.amazon.com/HiLetgo-10pcs-Battery-Holder-Storage/dp/B00LSG5BKO/ref=sr_1_5?crid=3RS94XDC2VMS3&keywords=18650+battery+holder&qid=1682101322&sprefix=18650+battery+holder%2Caps%2C82&sr=8-5,5,,,,,
,,,battery charger,,,Amazon,https://www.amazon.com/Battery-Charger-Rechargeable-Batteries-Display/dp/B07QDMXS4P/ref=sr_1_5?crid=2AWP49XVY8KEG&keywords=3.7+volt+rechargeable+battery+18650+2+ah&qid=1682101408&sprefix=3.7+volt+rechargeable+battery+18650+2+ah%2Caps%2C69&sr=8-5,1,,,,,
,,,pcb box,,,pcb box,https://www.polycase.com/lp-70f,50,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,battery,option 1,https://www.sparkfun.com/products/12895,https://www.sparkfun.com/products/12899,option 2,https://www.amazon.com/HiLetgo-10pcs-Battery-Holder-Storage/dp/B00LSG5BKO/ref=sr_1_5?crid=3RS94XDC2VMS3&keywords=18650+battery+holder&qid=1682101322&sprefix=18650+battery+holder%2Caps%2C82&sr=8-5,https://www.amazon.com/CPZZ-Rechargeable-Headlights-Streamlight-Doorbells/dp/B0BZYSHQMW/ref=sr_1_11?crid=3GOQH61QN2HFA&keywords=3.7%2Bvolt%2Bbattery%2B18650&qid=1682101916&sprefix=3.7%2Bvolt%2Bbattery%2B18650%2Caps%2C86&sr=8-11&th=1,https://www.amazon.com/Battery-Charger-Rechargeable-Batteries-Display/dp/B07QDMXS4P/ref=sr_1_5?crid=2AWP49XVY8KEG&keywords=3.7+volt+rechargeable+battery+18650+2+ah&qid=1682101408&sprefix=3.7+volt+rechargeable+battery+18650+2+ah%2Caps%2C69&sr=8-5,https://www.amazon.com/1%EF%BF%B58%EF%BF%B56%EF%BF%B550-Rechargeable-Batter%EF%BF%B5y-Universal-Batteries/dp/B0BCW9Q5QQ/ref=sr_1_6?crid=3GOQH61QN2HFA&keywords=3.7+volt+battery+18650&qid=1682101916&sprefix=3.7+volt+battery+18650%2Caps%2C86&sr=8-6,…,
,,,pcb box,https://www.polycase.com/lp-70f,,,,,https://www.amazon.com/Skywolfeye-Rechargeable-3Battery-Flashlight-Headlamps/dp/B0BXH5MXHK/ref=sr_1_18?crid=3GOQH61QN2HFA&keywords=3.7%2Bvolt%2Bbattery%2B18650&qid=1682101916&sprefix=3.7%2Bvolt%2Bbattery%2B18650%2Caps%2C86&sr=8-18&th=1,https://www.amazon.com/1%EF%BF%B58%EF%BF%B56%EF%BF%B550-Rechargeable-Batter%EF%BF%B5y-Universal-Batteries/dp/B0BCW9Q5QQ/ref=sr_1_5?crid=UU4ACAPMDUVR&keywords=3.7+volt+rechargeable+battery+18650&qid=1682101664&sprefix=3.7+volt+rechargeable+battery+18650+%2Caps%2C69&sr=8-5,…,,
,,,solar power,,,,,,,,,,
